"","Site","Year","Latitude","Longitude","Elevation","MAT.weath","MAP.weath","CMD.weath","log.MAP.weath","MAT.clim","MAP.clim","CMD.clim","log.MAP.clim","CMD.anom","MAT.anom","MAP.anom"
"35","S32",2012,37.539,-119.653999,1214,12.5416666666667,701,788,2.84571801796666,12.3713888888889,1059.66666666667,807.6,3.02516927319511,-19.6,0.1702777777778,0.179451255228453
"36","S36",2012,42.27411,-123.636169,393,11.8,1486,683,3.17201880942456,12.1025,1519.13333333333,713.666666666667,3.18159589327665,-30.666666666667,-0.302499999999998,0.00957708385209566
"37","S02",2013,32.89928,-116.5849,1168,14.2833333333333,450,997,2.65321251377534,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,-20.53333333333,0.291944444444399,0.144770181074191
"38","S07",2013,34.28425,-117.375389,1092,14.8416666666667,377,987,2.57634135020579,14.5047222222222,649.6,967.033333333333,2.81264601623312,19.966666666667,0.3369444444445,0.236304666027326
"39","S08",2013,36.69096,-118.909607,1682,10.6833333333333,546,781,2.73719264270474,10.0669444444444,969.433333333333,691.4,2.98651794857618,89.6,0.616388888888899,0.249325305871445
"40","S10",2013,36.20081,-118.650917,1288,13.4916666666667,467,872,2.66931688056611,12.8841666666667,860.833333333333,803.3,2.934919075472,68.7,0.6075,0.265602194905883
"41","S11",2013,34.07808,-116.87558,1990,9.025,529,730,2.72345567203519,8.65444444444444,782.2,763.366666666667,2.89331781161611,-33.366666666667,0.37055555555556,0.169862139580926
"42","S15",2013,43.37876,-122.952072,1168,10.8333333333333,2606,331,3.41597441137657,10.2619444444444,2547.8,333.033333333333,3.40616533327655,-2.03333333333302,0.571388888888901,-0.00980907810001286
"43","S16",2013,41.80979,-123.118874,1092,11.7916666666667,894,640,2.95133751879592,11.1744444444444,966.1,655.066666666667,2.98502208210954,-15.0666666666669,0.617222222222299,0.0336845633136171
"44","S17",2013,41.66546,-123.113411,680,13.0666666666667,170,1038,2.23044892137827,12.4708333333333,173.266666666667,996.4,2.23871502044533,41.6,0.595833333333401,0.008266099067058
"45","S18",2013,39.74298,-120.70401,1593,9.28333333333333,1036,674,3.01535975540921,8.71388888888889,1361.56666666667,633.466666666667,3.13403891064597,40.533333333333,0.569444444444439,0.118679155236754
"46","S29",2013,39.39442,-121.083023,440,16.2416666666667,1107,928,3.04414762087872,15.5572222222222,1412.4,854.833333333333,3.14995770889106,73.166666666667,0.6844444444445,0.105810088012337
"47","S32",2013,37.539,-119.653999,1214,13.1583333333333,671,930,2.82672252016899,12.3713888888889,1059.66666666667,807.6,3.02516927319511,122.4,0.7869444444444,0.19844675302612
"48","S36",2013,42.27411,-123.636169,393,12.5666666666667,1427,665,3.15442397311465,12.1025,1519.13333333333,713.666666666667,3.18159589327665,-48.666666666667,0.464166666666701,0.0271719201620049
"49","S02",2014,32.89928,-116.5849,1168,15.2166666666667,345,1051,2.53781909507327,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,33.46666666667,1.2252777777778,0.26016359977626
"50","S07",2014,34.28425,-117.375389,1092,15.7333333333333,284,1042,2.45331834004704,14.5047222222222,649.6,967.033333333333,2.81264601623312,74.966666666667,1.2286111111111,0.359327676186081
"51","S08",2014,36.69096,-118.909607,1682,11.325,452,755,2.65513843481138,10.0669444444444,969.433333333333,691.4,2.98651794857618,63.6,1.2580555555556,0.3313795137648
"52","S10",2014,36.20081,-118.650917,1288,14.1416666666667,392,871,2.59328606702046,12.8841666666667,860.833333333333,803.3,2.934919075472,67.7,1.2575,0.341633008451538
"53","S11",2014,34.07808,-116.87558,1990,9.9,388,824,2.58883172559421,8.65444444444444,782.2,763.366666666667,2.89331781161611,60.633333333333,1.24555555555556,0.304486086021905
"54","S15",2014,43.37876,-122.952072,1168,10.825,2015,341,3.30427505047713,10.2619444444444,2547.8,333.033333333333,3.40616533327655,7.96666666666698,0.5630555555556,0.101890282799425
"55","S16",2014,41.80979,-123.118874,1092,11.925,684,723,2.83505610172012,11.1744444444444,966.1,655.066666666667,2.98502208210954,67.9333333333331,0.7505555555556,0.149965980389419
"56","S17",2014,41.66546,-123.113411,680,13.2166666666667,105,1067,2.02118929906994,12.4708333333333,173.266666666667,996.4,2.23871502044533,70.6,0.745833333333401,0.217525721375394
"57","S18",2014,39.74298,-120.70401,1593,9.7,764,677,2.88309335857569,8.71388888888889,1361.56666666667,633.466666666667,3.13403891064597,43.533333333333,0.986111111111109,0.250945552070279
"58","S29",2014,39.39442,-121.083023,440,16.6666666666667,743,914,2.87098881376058,15.5572222222222,1412.4,854.833333333333,3.14995770889106,59.166666666667,1.1094444444445,0.278968895130484
"59","S32",2014,37.539,-119.653999,1214,13.7416666666667,510,882,2.70757017609794,12.3713888888889,1059.66666666667,807.6,3.02516927319511,74.4,1.3702777777778,0.317599097097176
"60","S36",2014,42.27411,-123.636169,393,12.6583333333333,1134,786,3.05461305455689,12.1025,1519.13333333333,713.666666666667,3.18159589327665,72.333333333333,0.5558333333333,0.126982838719764
"61","S02",2015,32.89928,-116.5849,1168,15.6,502,1103,2.70070371714502,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,85.46666666667,1.6086111111111,0.0972789777045149
"62","S07",2015,34.28425,-117.375389,1092,16.0833333333333,487,1014,2.68752896121463,14.5047222222222,649.6,967.033333333333,2.81264601623312,46.966666666667,1.5786111111111,0.125117055018484
"63","S08",2015,36.69096,-118.909607,1682,11.7833333333333,677,703,2.83058866868514,10.0669444444444,969.433333333333,691.4,2.98651794857618,11.6,1.7163888888889,0.155929279891038
"64","S10",2015,36.20081,-118.650917,1288,14.55,603,809,2.78031731214015,12.8841666666667,860.833333333333,803.3,2.934919075472,5.70000000000005,1.6658333333333,0.154601763331844
"65","S11",2015,34.07808,-116.87558,1990,10.2666666666667,672,726,2.82736927305383,8.65444444444444,782.2,763.366666666667,2.89331781161611,-37.366666666667,1.61222222222226,0.0659485385622864
"66","S15",2015,43.37876,-122.952072,1168,12.1416666666667,2082,492,3.31848072517452,10.2619444444444,2547.8,333.033333333333,3.40616533327655,158.966666666667,1.8797222222223,0.0876846081020357
"67","S16",2015,41.80979,-123.118874,1092,13.175,803,740,2.90471554527868,11.1744444444444,966.1,655.066666666667,2.98502208210954,84.9333333333331,2.0005555555556,0.0803065368308542
"68","S17",2015,41.66546,-123.113411,680,14.4666666666667,129,1112,2.11058971029925,12.4708333333333,173.266666666667,996.4,2.23871502044533,115.6,1.9958333333334,0.128125310146083
"69","S18",2015,39.74298,-120.70401,1593,10.6833333333333,1006,691,3.00259798071991,8.71388888888889,1361.56666666667,633.466666666667,3.13403891064597,57.533333333333,1.96944444444441,0.13144092992606
"70","S29",2015,39.39442,-121.083023,440,17.5833333333333,1077,948,3.03221570329798,15.5572222222222,1412.4,854.833333333333,3.14995770889106,93.166666666667,2.0261111111111,0.117742005593078
"71","S32",2015,37.539,-119.653999,1214,14.225,755,872,2.87794695162919,12.3713888888889,1059.66666666667,807.6,3.02516927319511,64.4,1.8536111111111,0.147222321565923
"72","S36",2015,42.27411,-123.636169,393,13.95,1288,840,3.10991586302379,12.1025,1519.13333333333,713.666666666667,3.18159589327665,126.333333333333,1.8475,0.0716800302528586
"73","S02",2016,32.89928,-116.5849,1168,14.8583333333333,450,1036,2.65321251377534,13.9913888888889,628.033333333333,1017.53333333333,2.79798269484953,18.46666666667,0.8669444444444,0.144770181074191
"74","S07",2016,34.28425,-117.375389,1092,15.3416666666667,381,1017,2.58092497567562,14.5047222222222,649.6,967.033333333333,2.81264601623312,49.966666666667,0.8369444444445,0.231721040557499
"75","S08",2016,36.69096,-118.909607,1682,10.95,1006,675,3.00259798071991,10.0669444444444,969.433333333333,691.4,2.98651794857618,-16.4,0.883055555555599,-0.0160800321437264
"76","S10",2016,36.20081,-118.650917,1288,13.7833333333333,806,800,2.90633504180509,12.8841666666667,860.833333333333,803.3,2.934919075472,-3.29999999999995,0.8991666666666,0.0285840336669048
"77","S11",2016,34.07808,-116.87558,1990,9.53333333333333,495,766,2.69460519893357,8.65444444444444,782.2,763.366666666667,2.89331781161611,2.63333333333298,0.878888888888889,0.198712612682543
"78","S15",2016,43.37876,-122.952072,1168,11.7,2881,435,3.45954325828041,10.2619444444444,2547.8,333.033333333333,3.40616533327655,101.966666666667,1.4380555555556,-0.05337792500386
"79","S16",2016,41.80979,-123.118874,1092,12.5833333333333,1141,747,3.05728564441821,11.1744444444444,966.1,655.066666666667,2.98502208210954,91.9333333333331,1.4088888888889,-0.0722635623086796
"80","S17",2016,41.66546,-123.113411,680,13.8666666666667,181,1061,2.25767857486918,12.4708333333333,173.266666666667,996.4,2.23871502044533,64.6,1.3958333333334,-0.0189635544238524
"81","S18",2016,39.74298,-120.70401,1593,9.875,1600,633,3.20411998265592,8.71388888888889,1361.56666666667,633.466666666667,3.13403891064597,-0.466666666667038,1.16111111111111,-0.0700810720099558
"82","S29",2016,39.39442,-121.083023,440,16.75,1603,840,3.20493352235414,15.5572222222222,1412.4,854.833333333333,3.14995770889106,-14.833333333333,1.1927777777778,-0.0549758134630851
"83","S32",2016,37.539,-119.653999,1214,13.3916666666667,1222,805,3.08707120590654,12.3713888888889,1059.66666666667,807.6,3.02516927319511,-2.60000000000002,1.0202777777778,-0.0619019327114234
"84","S36",2016,42.27411,-123.636169,393,13.4583333333333,1796,829,3.25430633233129,12.1025,1519.13333333333,713.666666666667,3.18159589327665,115.333333333333,1.3558333333333,-0.0727104390546338
