,Site,Year,Latitude,Longitude,Elevation,Decision,MAT.weath,MAP.weath,CMD.weath,MAT.weath.1,MAP.weath.1,CMD.weath.1,log.MAP.weath,log.MAP.weath.1,MAT.clim,MAP.clim,CMD.clim,log.MAP.clim,CMD.anom,MAT.anom,MAP.anom
55,S16,2014,41.80979,-123.118874,1092,Included,11.925,57,723,11.79166667,74.5,640,4.043051268,4.310799125,11.17444444,80.50833333,655.0666667,4.388360699,67.93333333,0.750555556,-0.345309431
67,S16,2015,41.80979,-123.118874,1092,Included,13.175,66.91666667,740,11.925,57,723,4.203448064,4.043051268,11.17444444,80.50833333,655.0666667,4.388360699,84.93333333,2.000555556,-0.184912635
79,S16,2016,41.80979,-123.118874,1092,Included,12.58333333,95.08333333,747,13.175,66.91666667,740,4.5547537,4.203448064,11.17444444,80.50833333,655.0666667,4.388360699,91.93333333,1.408888889,0.166393001
8,S17,2010,41.66546,-123.113411,680,Unavailable,12.05833333,13.66666667,927,12.60833333,10.5,1014,2.614959778,2.351375257,12.47083333,14.43888889,996.4,2.669925184,-69.4,-0.4125,-0.054965406
20,S17,2011,41.66546,-123.113411,680,Included,12.2,15.16666667,926,12.05833333,13.66666667,927,2.719100037,2.614959778,12.47083333,14.43888889,996.4,2.669925184,-70.4,-0.270833333,0.049174854
32,S17,2012,41.66546,-123.113411,680,Unavailable,12.425,13,973,12.2,15.16666667,926,2.564949357,2.719100037,12.47083333,14.43888889,996.4,2.669925184,-23.4,-0.045833333,-0.104975826
44,S17,2013,41.66546,-123.113411,680,Unavailable,13.06666667,14.16666667,1038,12.425,13,973,2.650891787,2.564949357,12.47083333,14.43888889,996.4,2.669925184,41.6,0.595833333,-0.019033396
56,S17,2014,41.66546,-123.113411,680,Included,13.21666667,8.75,1067,13.06666667,14.16666667,1038,2.1690537,2.650891787,12.47083333,14.43888889,996.4,2.669925184,70.6,0.745833333,-0.500871483
68,S17,2015,41.66546,-123.113411,680,Included,14.46666667,10.75,1112,13.21666667,8.75,1067,2.374905755,2.1690537,12.47083333,14.43888889,996.4,2.669925184,115.6,1.995833333,-0.295019429
80,S17,2016,41.66546,-123.113411,680,Remove,13.86666667,15.08333333,1061,14.46666667,10.75,1112,2.713590381,2.374905755,12.47083333,14.43888889,996.4,2.669925184,64.6,1.395833333,0.043665198
9,S18,2010,39.74298,-120.70401,1593,Included,8.191666667,109.1666667,574,9.166666667,93.41666667,615,4.692875766,4.537069773,8.713888889,113.4638889,633.4666667,4.731484627,-59.46666667,-0.522222222,-0.03860886
21,S18,2011,39.74298,-120.70401,1593,Unavailable,8.475,139.25,548,8.191666667,109.1666667,574,4.936270879,4.692875766,8.713888889,113.4638889,633.4666667,4.731484627,-85.46666667,-0.238888889,0.204786252
33,S18,2012,39.74298,-120.70401,1593,Included,8.841666667,73.41666667,671,8.475,139.25,548,4.296150976,4.936270879,8.713888889,113.4638889,633.4666667,4.731484627,37.53333333,0.127777778,-0.435333651
45,S18,2013,39.74298,-120.70401,1593,Included,9.283333333,86.33333333,674,8.841666667,73.41666667,671,4.458215773,4.296150976,8.713888889,113.4638889,633.4666667,4.731484627,40.53333333,0.569444444,-0.273268854
57,S18,2014,39.74298,-120.70401,1593,Included,9.7,63.66666667,677,9.283333333,86.33333333,674,4.153661139,4.458215773,8.713888889,113.4638889,633.4666667,4.731484627,43.53333333,0.986111111,-0.577823487
69,S18,2015,39.74298,-120.70401,1593,Unavailable,10.68333333,83.83333333,691,9.7,63.66666667,677,4.428830701,4.153661139,8.713888889,113.4638889,633.4666667,4.731484627,57.53333333,1.969444444,-0.302653926
81,S18,2016,39.74298,-120.70401,1593,Remove,9.875,133.3333333,633,10.68333333,83.83333333,691,4.892852258,4.428830701,8.713888889,113.4638889,633.4666667,4.731484627,-0.466666667,1.161111111,0.161367632
10,S29,2010,39.39442,-121.083023,440,Included,15.1,114.75,756,16.00833333,88,860,4.742755849,4.477336814,15.55722222,117.7,854.8333333,4.768139014,-98.83333333,-0.457222222,-0.025383165
22,S29,2011,39.39442,-121.083023,440,Unavailable,15.36666667,140.75,774,15.1,114.75,756,4.946985267,4.742755849,15.55722222,117.7,854.8333333,4.768139014,-80.83333333,-0.190555556,0.178846253
34,S29,2012,39.39442,-121.083023,440,Unavailable,15.70833333,80,851,15.36666667,140.75,774,4.382026635,4.946985267,15.55722222,117.7,854.8333333,4.768139014,-3.833333333,0.151111111,-0.38611238
46,S29,2013,39.39442,-121.083023,440,Included,16.24166667,92.25,928,15.70833333,80,851,4.524502283,4.382026635,15.55722222,117.7,854.8333333,4.768139014,73.16666667,0.684444444,-0.243636731
58,S29,2014,39.39442,-121.083023,440,Included,16.66666667,61.91666667,914,16.24166667,92.25,928,4.125789395,4.524502283,15.55722222,117.7,854.8333333,4.768139014,59.16666667,1.109444444,-0.642349619
70,S29,2015,39.39442,-121.083023,440,Included,17.58333333,89.75,948,16.66666667,61.91666667,914,4.497028027,4.125789395,15.55722222,117.7,854.8333333,4.768139014,93.16666667,2.026111111,-0.271110987
